X,Y,WindField,speed,heading,dx,dy,ratio,style_css,direction
81.3886277451103,12.6058222901757,wind_242,8.300000000000002,194.19078208276449,-143.22,-300.63,0.87,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-154.526890415277
80.5578244184846,12.5397986931778,wind_243,10.4,252.77002758037057,-331.22,-34.36,0.92,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-95.9225476563831
80.377234548496,12.5048208864867,wind_244,9.3,274.3181847570759,-321.26,87.64,0.88,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-74.7409577347
80.1967442474658,12.4697343157638,wind_245,6.6,332.2884840238317,-97.33,318.46,0.94,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-16.994571343602
80.467523813704,12.5223241169183,wind_246,9.2,284.7881406605492,-300.47,143.54,0.91,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-64.4653428948685
80.7384596291569,12.5746568474567,wind_247,11.6,228.66158246643428,-289.15,-165.17,0.81,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-119.736131340925
80.2869591560601,12.4872903573396,wind_248,14.2,269.2204274325907,-327.66,59.39,0.89,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-79.7263942433631
80.6481374545111,12.5572443417177,wind_249,6.5,253.697538742765,-331.72,-29.15,0.88,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-95.0219845648964
80.5038878991494,11.4076652915074,wind_25,8.800000000000002,312.29607629168936,-200.58,265.82,0.88,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-37.0371368968015
80.9191420448462,12.6093859291823,wind_250,9.8,213.89234751177364,-237.38,-233.54,0.76,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-134.532806172793
80.8287952372772,12.5920355799668,wind_251,12.1,230.0966844244902,-293.09,-158.08,0.81,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-118.340493269756
81.0094994219166,12.6267075968175,wind_252,11.5,204.01160574803333,-193.38,-271.1,0.78,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-144.499124630635
81.1902444029206,12.6612584950387,wind_253,9.3,203.38012856567724,-190.14,-273.38,0.89,fill:#0000ff; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:star,-145.180792137348
